iter	Passed	Remaining
0	166	166688
1	168	84122
2	169	56402
3	170	42562
4	172	34261
5	172	28640
6	173	24620
7	174	21610
8	207	22887
9	208	20649
10	209	18814
11	210	17291
12	210	15994
13	211	14886
14	212	13934
15	213	13157
16	214	12425
17	216	11801
18	217	11227
19	218	10725
20	220	10274
21	221	9851
22	222	9447
23	223	9070
24	223	8724
25	224	8404
26	224	8107
27	225	7835
28	226	7583
29	227	7345
30	227	7123
31	228	6913
32	229	6715
33	229	6533
34	230	6362
35	231	6195
36	232	6040
37	232	5896
38	233	5757
39	234	5624
40	234	5496
41	235	5374
42	236	5258
43	236	5148
44	237	5041
45	238	4940
46	238	4843
47	239	4751
48	240	4663
49	240	4577
50	241	4494
51	242	4417
52	243	4342
53	243	4270
54	245	4214
55	245	4145
56	246	4083
57	247	4019
58	248	3958
59	248	3898
60	249	3840
61	250	3784
62	250	3730
63	251	3678
64	252	3626
65	252	3577
66	253	3529
67	254	3482
68	254	3438
69	255	3395
70	256	3352
71	256	3310
72	257	3269
73	258	3231
74	258	3193
75	259	3160
76	260	3124
77	261	3089
78	261	3054
79	262	3019
80	263	2986
81	263	2955
82	264	2920
83	264	2889
84	265	2859
85	266	2830
86	266	2801
87	267	2773
88	268	2746
89	268	2719
90	269	2692
91	270	2666
92	270	2640
93	271	2615
94	271	2590
95	272	2565
96	273	2541
97	273	2517
98	274	2495
99	274	2474
100	275	2453
101	276	2431
102	276	2410
103	277	2389
104	277	2369
105	278	2348
106	279	2329
107	279	2309
108	280	2290
109	280	2271
110	281	2253
111	281	2234
112	282	2217
113	283	2199
114	283	2182
115	284	2165
116	284	2148
117	285	2132
118	285	2116
119	286	2100
120	286	2084
121	287	2068
122	287	2053
123	288	2038
124	289	2024
125	289	2011
126	290	1996
127	291	1982
128	291	1969
129	292	1955
130	292	1942
131	293	1928
132	293	1916
133	294	1904
134	295	1892
135	296	1880
136	296	1869
137	297	1857
138	298	1846
139	298	1835
140	299	1824
141	299	1812
142	300	1800
143	301	1789
144	301	1778
145	302	1767
146	302	1756
147	303	1746
148	304	1736
149	304	1727
150	305	1717
151	306	1707
152	306	1697
153	307	1687
154	307	1677
155	308	1668
156	308	1658
157	309	1649
158	310	1639
159	310	1630
160	310	1620
161	311	1612
162	312	1603
163	312	1594
164	313	1585
165	313	1577
166	314	1568
167	315	1560
168	315	1551
169	316	1543
170	316	1536
171	317	1528
172	317	1520
173	318	1512
174	319	1504
175	319	1497
176	320	1490
177	321	1482
178	321	1475
179	322	1467
180	322	1460
181	323	1453
182	323	1446
183	324	1439
184	325	1432
185	325	1425
186	326	1418
187	326	1411
188	327	1404
189	327	1398
190	328	1391
191	329	1384
192	329	1378
193	330	1371
194	330	1365
195	331	1359
196	332	1353
197	332	1347
198	333	1340
199	333	1334
200	334	1328
201	335	1323
202	335	1317
203	336	1311
204	336	1305
205	337	1300
206	337	1294
207	338	1288
208	339	1283
209	339	1278
210	340	1273
211	341	1267
212	341	1262
213	342	1257
214	343	1252
215	343	1248
216	344	1243
217	345	1238
218	346	1233
219	346	1229
220	347	1224
221	347	1219
222	348	1214
223	349	1209
224	349	1205
225	350	1201
226	351	1196
227	352	1191
228	352	1187
229	353	1182
230	353	1178
231	354	1173
232	355	1168
233	355	1163
234	356	1159
235	356	1154
236	357	1150
237	357	1145
238	358	1140
239	358	1136
240	359	1131
241	360	1127
242	360	1123
243	361	1118
244	361	1114
245	362	1110
246	362	1106
247	363	1101
248	363	1097
249	364	1093
250	365	1089
251	365	1085
252	366	1081
253	366	1077
254	367	1074
255	368	1070
256	368	1066
257	369	1062
258	369	1058
259	370	1054
260	371	1050
261	371	1046
262	372	1043
263	372	1039
264	373	1035
265	373	1031
266	374	1028
267	374	1024
268	375	1020
269	376	1016
270	376	1013
271	377	1009
272	377	1006
273	378	1002
274	378	998
275	379	995
276	380	993
277	381	989
278	381	986
279	382	983
280	383	980
281	384	977
282	384	974
283	385	971
284	386	968
285	386	965
286	387	962
287	388	959
288	388	956
289	389	953
290	390	950
291	390	947
292	391	944
293	391	941
294	392	937
295	393	934
296	393	931
297	394	928
298	395	926
299	395	923
300	396	920
301	397	917
302	397	914
303	398	911
304	398	908
305	399	905
306	399	902
307	400	899
308	401	896
309	401	893
310	402	890
311	402	887
312	403	885
313	403	882
314	404	879
315	404	876
316	405	873
317	406	870
318	406	868
319	407	865
320	407	862
321	408	860
322	409	857
323	410	856
324	411	854
325	412	852
326	412	849
327	413	847
328	414	844
329	414	842
330	415	839
331	416	837
332	416	834
333	417	831
334	417	829
335	418	826
336	419	824
337	419	821
338	420	819
339	420	817
340	421	814
341	422	811
342	422	809
343	423	807
344	423	804
345	424	802
346	424	799
347	425	797
348	426	795
349	426	792
350	427	790
351	427	787
352	428	785
353	428	782
354	429	780
355	430	778
356	431	776
357	431	774
358	432	772
359	433	770
360	434	769
361	436	769
362	438	769
363	441	771
364	442	770
365	446	772
366	446	770
367	447	768
368	448	766
369	449	764
370	449	762
371	451	762
372	452	760
373	453	759
374	454	757
375	456	757
376	457	756
377	458	754
378	459	752
379	459	750
380	460	748
381	461	746
382	462	744
383	462	742
384	463	740
385	464	738
386	465	737
387	466	735
388	466	733
389	467	731
390	468	729
391	469	728
392	471	728
393	472	727
394	473	725
395	474	723
396	475	721
397	475	719
398	476	717
399	477	715
400	477	713
401	478	711
402	479	709
403	479	707
404	480	706
405	481	704
